,PLZ,Ortsname,YB,YB_relativ,YB_pro_1000,SCB,SCB_relativ,SCB_pro_1000,derby
341,1545,Chevroux,,,,,,,Unentschieden
342,1551,Payerne,,,,,,,Unentschieden
343,1552,Trey,,,,1.0,0.003787878787878788,3.787878787878788,Unentschieden
344,1553,Châtonnaye,,,,,,,Unentschieden
345,1554,Villarzel,,,,,,,Unentschieden
346,1555,Villarzel,,,,,,,Unentschieden
347,1562,"Montagny (FR), Corcelles-près-Payerne, Payerne",,,,8.0,0.0038095238095238095,3.8095238095238093,Unentschieden
348,1563,Belmont-Broye,2.0,0.002,2.0,,,,Unentschieden
349,1564,Belmont-Broye,2.0,0.0006856359273225917,0.6856359273225917,1.0,0.00034281796366129587,0.34281796366129585,YB gewinnt
350,1565,"Vallon, Missy",,,,,,,Unentschieden
351,1566,Saint-Aubin (FR),3.0,0.0018796992481203006,1.8796992481203008,,,,Unentschieden
352,1567,Delley-Portalban,,,,,,,Unentschieden
353,1568,Delley-Portalban,,,,1.0,0.001524390243902439,1.524390243902439,Unentschieden
354,1580,"Belmont-Broye, Avenches",2.0,0.0004916420845624386,0.4916420845624386,3.0,0.0007374631268436578,0.7374631268436578,SCB gewinnt
355,1583,Villarepos,,,,,,,Unentschieden
356,1584,Vully-les-Lacs,,,,,,,Unentschieden
357,1585,Vully-les-Lacs,,,,1.0,0.001006036217303823,1.006036217303823,Unentschieden
358,1586,Vully-les-Lacs,,,,,,,Unentschieden
359,1587,Vully-les-Lacs,,,,,,,Unentschieden
360,1588,Cudrefin,,,,1.0,0.0006839945280437756,0.6839945280437756,Unentschieden
361,1589,Vully-les-Lacs,,,,,,,Unentschieden
362,1595,"Clavaleyres, Faoug",,,,1.0,0.0011494252873563218,1.1494252873563218,Unentschieden
363,1607,"Puidoux, Oron",,,,,,,Unentschieden
364,1608,"Chapelle (Glâne), Oron",,,,,,,Unentschieden
365,1609,Saint-Martin (FR),,,,,,,Unentschieden
366,1610,Oron,,,,,,,Unentschieden
367,1611,La Verrerie,,,,,,,Unentschieden
368,1612,"Attalens, Oron",,,,,,,Unentschieden
369,1613,Maracon,,,,,,,Unentschieden
370,1614,"Granges (Veveyse), Chardonne",,,,,,,Unentschieden
371,1615,Bossonnens,,,,,,,Unentschieden
372,1616,Attalens,,,,,,,Unentschieden
373,1617,"Attalens, Remaufens",,,,,,,Unentschieden
374,1618,"Châtel-Saint-Denis, Remaufens",,,,,,,Unentschieden
375,1619,Châtel-Saint-Denis,,,,,,,Unentschieden
376,1623,Semsales,,,,,,,Unentschieden
377,1624,"Semsales, La Verrerie",,,,,,,Unentschieden
378,1625,Sâles,1.0,0.001037344398340249,1.037344398340249,,,,Unentschieden
379,1626,Sâles,,,,,,,Unentschieden
380,1627,"Vaulruz, Semsales",1.0,0.000949667616334283,0.9496676163342831,,,,Unentschieden
381,1628,"Riaz, Vuadens",,,,,,,Unentschieden
382,1630,Bulle,2.0,0.00011678150181011328,0.11678150181011328,2.0,0.00011678150181011328,0.11678150181011328,Unentschieden
383,1632,Riaz,,,,,,,Unentschieden
384,1633,Marsens,,,,,,,Unentschieden
385,1634,La Roche,,,,,,,Unentschieden
386,1635,"Bulle, Gruyères, Le Pâquier (FR)",2.0,0.0004578754578754579,0.45787545787545786,1.0,0.00022893772893772894,0.22893772893772893,YB gewinnt
387,1636,"Broc, Gruyères",,,,,,,Unentschieden
388,1637,Val-de-Charmey,,,,,,,Unentschieden
389,1638,Morlon,,,,,,,Unentschieden
390,1642,Sorens,,,,1.0,0.0009380863039399625,0.9380863039399625,Unentschieden
391,1643,Pont-en-Ogoz,,,,,,,Unentschieden
392,1644,Pont-en-Ogoz,,,,,,,Unentschieden
393,1645,Pont-en-Ogoz,,,,,,,Unentschieden
394,1646,"Corbières, Echarlens",,,,,,,Unentschieden
395,1647,Corbières,,,,,,,Unentschieden
396,1648,Hauteville,,,,,,,Unentschieden
397,1649,Pont-la-Ville,,,,,,,Unentschieden
398,1651,Corbières,,,,,,,Unentschieden
399,1652,Botterens,,,,,,,Unentschieden
400,1653,"Châtel-sur-Montsalvens, Crésuz",,,,,,,Unentschieden
401,1654,Val-de-Charmey,,,,,,,Unentschieden
402,1656,Jaun,,,,,,,Unentschieden
403,1657,"Boltigen, Saanen",,,,,,,Unentschieden
