"Strassenfahrzeugbestand: Personenwagen ab 1990"

"Kanton";"Karosserie";"Treibstoff";"Anzahl Sitzplätze";"Antrieb";"Getriebe";"1990";"1991"
"Zürich";"Limousine";"Andere";"6 Sitzplätze";"Hinterrad";"Automatisches";1;1
"Zürich";"Limousine";"Andere";"6 Sitzplätze";"Hinterrad";"Manuelles";0;0
"Zürich";"Limousine";"Andere";"6 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Andere";"6 Sitzplätze";"Allrad";"Automatisches";0;0
"Zürich";"Limousine";"Andere";"6 Sitzplätze";"Allrad";"Manuelles";0;0
"Zürich";"Limousine";"Andere";"6 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Andere";"7 Sitzplätze";"Vorderrad";"Automatisches";0;0
"Zürich";"Limousine";"Andere";"7 Sitzplätze";"Vorderrad";"Manuelles";0;0
"Zürich";"Limousine";"Andere";"7 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Andere";"7 Sitzplätze";"Hinterrad";"Automatisches";0;0
"Zürich";"Limousine";"Andere";"7 Sitzplätze";"Hinterrad";"Manuelles";0;0
"Zürich";"Limousine";"Andere";"7 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Andere";"7 Sitzplätze";"Allrad";"Automatisches";0;0
"Zürich";"Limousine";"Andere";"7 Sitzplätze";"Allrad";"Manuelles";0;0
"Zürich";"Limousine";"Andere";"7 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Andere";"8 Sitzplätze";"Vorderrad";"Automatisches";0;0
"Zürich";"Limousine";"Andere";"8 Sitzplätze";"Vorderrad";"Manuelles";0;0
"Zürich";"Limousine";"Andere";"8 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Andere";"8 Sitzplätze";"Hinterrad";"Automatisches";0;0
"Zürich";"Limousine";"Andere";"8 Sitzplätze";"Hinterrad";"Manuelles";1;1
"Zürich";"Limousine";"Andere";"8 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Andere";"8 Sitzplätze";"Allrad";"Automatisches";0;0
"Zürich";"Limousine";"Andere";"8 Sitzplätze";"Allrad";"Manuelles";2;2
"Zürich";"Limousine";"Andere";"8 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Andere";"9 Sitzplätze";"Vorderrad";"Automatisches";0;0
"Zürich";"Limousine";"Andere";"9 Sitzplätze";"Vorderrad";"Manuelles";0;0
"Zürich";"Limousine";"Andere";"9 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Andere";"9 Sitzplätze";"Hinterrad";"Automatisches";0;0
"Zürich";"Limousine";"Andere";"9 Sitzplätze";"Hinterrad";"Manuelles";0;0
"Zürich";"Limousine";"Andere";"9 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Andere";"9 Sitzplätze";"Allrad";"Automatisches";0;0
