GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
2.01412E+11,12/28/14,Afghanistan,Naw Zad district,Taliban,0,,,,,0,0,Police,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Afghanistan,Unknown,Unknown,0,,,,,0,0,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Afghanistan,Unknown,Unknown,0,,,,,0,0,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Afghanistan,Unknown,Unknown,0,,,,,0,0,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Pakistan,Khyber district,Unknown,0,,,,,0,0,Terrorists/Non-state Militia,,,South Asia,Facility/Infrastructure Attack,,,Incendiary,,,
2.01412E+11,12/28/14,Afghanistan,Guzara district,Taliban,0,,,,,Unknown,Unknown,Business,,,South Asia,Hostage Taking (Kidnapping),Facility/Infrastructure Attack,,Incendiary,,,
2.01412E+11,12/29/14,India,Tamenglong,Unknown,0,,,,,0,0,Unknown,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Afghanistan,Kunduz,Unknown,0,,,,,0,1,Business,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Afghanistan,Ghani Khel,Unknown,0,,,,,1,1,Police,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Afghanistan,Gardez,Unknown,0,,,,,2,1,Police,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Afghanistan,Balkh district,Taliban,0,,,,,1,2,Police,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Afghanistan,Sangin district,Taliban,0,,,,,12,6,Military,,,South Asia,Armed Assault,,,Firearms,,,
2.01412E+11,12/28/14,Afghanistan,Kabul,Taliban,0,,,,,0,3,Religious Figures/Institutions,Police,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,India,Bengaluru,Students Islamic Movement of India (SIMI),0,Indian Mujahideen,1,,,1,3,Business,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Iraq,Samarra,Islamic State of Iraq and the Levant (ISIL),0,,,,,1,0,Military,,,Middle East & North Africa,Assassination,,,Firearms,,,
2.01412E+11,12/28/14,Iraq,Baghdad,Unknown,0,,,,,1,3,Military,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
2.01412E+11,12/28/14,Iraq,Baghdad,Unknown,0,,,,,2,6,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Yemen,Sanaa,Huthi Extremists,0,,,,,Unknown,Unknown,Private Citizens & Property,,,Middle East & North Africa,Hostage Taking (Kidnapping),,,Firearms,,,
2.01412E+11,12/28/14,Syria,Qatmah,Unknown,0,,,,,6,10,Terrorists/Non-state Militia,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Syria,Kobani,Islamic State of Iraq and the Levant (ISIL),0,,,,,8,Unknown,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/28/14,Afghanistan,Khas Uruzgan district,Taliban,0,,,,,0,1,NGO,,,South Asia,Hostage Taking (Kidnapping),,,Firearms,,,
2.01412E+11,12/28/14,Yemen,Aden,Al-Qaida in the Arabian Peninsula (AQAP),0,,,,,1,2,Military,,,Middle East & North Africa,Assassination,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/27/14,Yemen,Sanaa,Huthi Extremists,1,,,,,0,0,Religious Figures/Institutions,,,Middle East & North Africa,Hostage Taking (Kidnapping),,,Unknown,,,
2.01412E+11,12/27/14,Pakistan,Gujranwala,Unknown,0,,,,,1,0,Private Citizens & Property,,,South Asia,Armed Assault,,,Firearms,,,
2.01412E+11,12/27/14,Afghanistan,Ghazni,Taliban,0,,,,,1,1,Government (General),,,South Asia,Armed Assault,,,Firearms,,,
2.01412E+11,12/27/14,Nigeria,Tattaura,Fulani Militants,1,,,,,10,5,Business,,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
2.01412E+11,12/27/14,Afghanistan,Nirkh district,Taliban,0,,,,,3,5,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/27/14,Afghanistan,Bagram,Taliban,0,,,,,0,0,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/27/14,Yemen,Mukalla,Unknown,0,,,,,0,0,Government (General),,,Middle East & North Africa,Facility/Infrastructure Attack,,,Unknown,,,
2.01412E+11,12/27/14,Yemen,Unknown,Unknown,0,,,,,0,0,Private Citizens & Property,,,Middle East & North Africa,Assassination,,,Unknown,,,
2.01412E+11,12/27/14,Pakistan,Khazyana Kandao,Unknown,0,,,,,8,12,Military,,,South Asia,Armed Assault,,,Firearms,,,
2.01412E+11,12/27/14,Pakistan,Sherin Darra,Unknown,0,,,,,8,12,Military,,,South Asia,Armed Assault,,,Firearms,,,
