,d1,d2,area,population,density,lat,lon,B,K,L,shortname,x,y,Lp10T,Bp10T,Kp10T,logdensity
????? ???,?????,???,16.6,282525.0,17019.578313253012,35.2048575,129.0836402,0.0,0.0,7.0,????,11,16,0.2477656844527033,0.0,0.0,4.230948795554912
????? ????,?????,????,29.7,398101.0,13404.074074074077,35.16300089999999,129.0531722,1.0,2.0,10.0,?????,10,16,0.2511925365673535,0.02511925365673535,0.0502385073134707,4.127236819183581
????? ??,?????,??,38.3,315606.0,8240.365535248042,35.1971347,128.99037109999998,0.0,1.0,6.0,????,9,16,0.19011045417387504,0.0,0.03168507569564583,3.915946477039362
????? ???,?????,???,35.8,258975.0,7233.938547486034,35.1526399,128.9908173,0.0,2.0,6.0,????,9,17,0.2316825948450623,0.0,0.07722753161502076,3.8593748150972798
????? ???,?????,???,40.89,363630.0,8892.883345561262,35.1044223,128.9747081,0.0,0.0,9.0,????,9,19,0.2475043313257982,0.0,0.0,3.9490425953954658
????? ??,?????,??,13.67,126811.0,9276.591075347476,35.09773,129.0241207,0.0,0.0,3.0,????,9,18,0.2365725370827452,0.0,0.0,3.96738841273261
????? ???,?????,???,10.16,178231.0,17542.42125984252,35.145615,129.1130831,0.0,0.0,3.0,????,11,18,0.16832088693886024,0.0,0.0,4.244089535849698
????? ???,?????,???,12.08,211184.0,17482.11920529801,35.1761938,129.0797244,0.0,1.0,7.0,????,11,17,0.33146450488673385,0.0,0.04735207212667627,4.242594077233231
????? ???,?????,???,13.98,149787.0,10714.377682403434,35.0912316,129.0681448,0.0,0.0,2.0,????,10,19,0.13352293590231462,0.0,0.0,4.029966951211074
????? ??,?????,??,2.8,49983.0,17851.07142857143,35.106146200000005,129.03234170000002,1.0,2.0,4.0,????,10,18,0.8002720925114539,0.20006802312786348,0.40013604625572696,4.25166428776204
????? ????,?????,????,51.44,427619.0,8312.966562986003,35.1631139,129.16355090000002,3.0,3.0,14.0,?????,12,17,0.3273942458122768,0.07015590981691645,0.07015590981691645,3.919756033654802
????? ???,?????,???,39.5,569499.0,14417.696202531646,37.51723629999999,127.04732479999998,20.0,9.0,7.0,????,6,7,0.1229150534065907,0.3511858668759735,0.15803364009418808,4.158895870198908
????? ???,?????,???,24.6,489655.0,19904.674796747968,37.5301251,127.12376200000001,3.0,5.0,10.0,????,8,5,0.20422542402303662,0.06126762720691099,0.10211271201151831,4.2989550864601025
????? ???,?????,???,23.6,343912.0,14572.542372881355,37.639609899999996,127.0256575,0.0,1.0,4.0,????,5,2,0.11630882318732699,0.0,0.029077205796831748,4.1635353268003215
????? ???,?????,???,41.4,579196.0,13990.241545893721,37.5509786,126.8495382,3.0,4.0,12.0,????,4,4,0.20718375126900046,0.051795937817250115,0.06906125042300015,4.145825212786551
????? ???,?????,???,29.6,547311.0,18490.236486486487,37.478406299999996,126.95161329999999,4.0,2.0,10.0,????,5,6,0.18271147482875366,0.07308458993150146,0.03654229496575073,4.266942465735665
????? ???,?????,???,17.05,386513.0,22669.384164222876,37.5384843,127.0822938,3.0,2.0,11.0,????,7,6,0.2845958609412879,0.07761705298398759,0.05174470198932507,4.355439722256532
????? ???,?????,???,20.11,449613.0,22357.68274490304,37.495403100000004,126.88736899999999,2.0,2.0,8.0,????,4,7,0.17793079826428504,0.04448269956607126,0.04448269956607126,4.349426789229928
????? ???,?????,???,13.01,263116.0,20224.135280553422,37.4518527,126.90203580000001,2.0,1.0,6.0,????,5,7,0.228036303379498,0.07601210112649934,0.03800605056324967,4.305869961635982
????? ???,?????,???,35.44,615161.0,17357.816027088036,37.6541917,127.056793,0.0,3.0,10.0,????,6,1,0.16255906990202562,0.0,0.04876772097060769,4.23949508103336
????? ???,?????,???,20.8,372398.0,17903.75,37.6687738,127.0470706,2.0,1.0,5.0,????,5,1,0.1342649530878254,0.05370598123513016,0.02685299061756508,4.252944004931678
????? ????,?????,????,14.2,374277.0,26357.53521126761,37.57436819999999,127.0400189,1.0,1.0,6.0,?????,7,4,0.16030907589833196,0.026718179316388663,0.026718179316388663,4.42090479536831
????? ???,?????,???,16.36,407973.0,24937.224938875308,37.512402,126.9392525,2.0,3.0,6.0,????,5,5,0.14706855600738283,0.04902285200246095,0.07353427800369142,4.396848122727567
????? ???,?????,???,23.87,392313.0,16435.40008378718,37.5637561,126.90842109999998,2.0,2.0,9.0,????,5,4,0.22940866094164608,0.05097970243147691,0.05097970243147691,4.215780280493471
????? ????,?????,????,17.6,336649.0,19127.784090909092,37.5791158,126.93677890000001,3.0,1.0,4.0,?????,5,3,0.11881811619817674,0.08911358714863256,0.029704529049544185,4.281664660940425
????? ???,?????,???,47.04,431131.0,9165.199829931971,37.483712100000005,127.0324112,9.0,8.0,5.0,????,6,6,0.11597403109495721,0.208753255970923,0.18555844975193156,3.962141938375232
????? ???,?????,???,16.85,316064.0,18757.507418397625,37.5633415,127.03710249999999,0.0,2.0,6.0,????,7,5,0.18983497013263137,0.0,0.06327832337754379,4.273175126881153
????? ???,?????,???,24.57,484457.0,19717.41961741962,37.589116,127.0182146,2.0,1.0,10.0,????,6,2,0.2064166685588195,0.041283333711763896,0.020641666855881948,4.294850079000674
????? ???,?????,???,33.9,689296.0,20333.21533923304,37.514543700000004,127.10659709999999,6.0,4.0,20.0,????,8,6,0.29015111069845173,0.08704533320953553,0.05803022213969035,4.308206060077891
????? ???,?????,???,17.4,506684.0,29119.77011494253,37.5168721,126.86639850000002,3.0,1.0,6.0,????,4,5,0.11841700152363208,0.05920850076181604,0.01973616692060535,4.464187942131177
????? ????,?????,????,24.56,441747.0,17986.441368078176,37.5263715,126.8962283,4.0,4.0,10.0,?????,4,6,0.2263739199134346,0.09054956796537385,0.09054956796537385,4.254945246331358
????? ???,?????,???,21.87,251200.0,11486.053955189756,37.53842720000001,126.96544420000001,4.0,5.0,8.0,????,6,5,0.3184713375796178,0.1592356687898089,0.19904458598726113,4.060170852027522
