Date,D0,D1,Value
2006-04,M0,SEK100,16.8711
2006-04,M0,TRY100,96.076111
2006-04,M0,USD1,1.2834
2006-04,M0,CAD1,1.12
2006-04,M0,ARS100,41.7856
2006-04,M0,BRL100,60.1667
2006-04,M0,MXN100,11.6322
2006-04,M0,ZAR1,0.211
2006-04,M0,JPY100,1.096728
2006-04,M0,AUD1,0.944417
2006-04,M0,CNY100,16.002
2006-04,M0,HKD100,16.545094
2006-04,M0,KRW100,0.1347
2006-04,M0,MYR100,35.0478
2006-04,M0,NZD1,0.7975
2006-04,M0,SGD100,80.1178
2006-04,M0,THB100,3.3757
2006-04,M0,XDR1,1.864049
2006-05,M0,EUR1,1.5565
2006-05,M0,GBP1,2.2772
2006-05,M0,DKK100,20.871
2006-05,M0,NOK100,19.9548
2006-05,M0,CZK100,5.5009
2006-05,M0,HUF100,0.5926
2006-05,M0,PLN100,39.9652
2006-05,M0,RUB100,4.5043
2006-05,M0,SEK100,16.6705
2006-05,M0,TRY100,85.288095
2006-05,M0,USD1,1.2188
2006-05,M0,CAD1,1.0975
2006-05,M0,ARS100,39.8719
2006-05,M0,BRL100,56.3857
2006-05,M0,MXN100,10.9952
2006-05,M0,ZAR1,0.1931
2006-05,M0,JPY100,1.090876
2006-05,M0,AUD1,0.930695
2006-05,M0,CNY100,15.21234783
2006-05,M0,HKD100,15.717038
2006-05,M0,KRW100,0.1295
2006-05,M0,MYR100,33.749
2006-05,M0,NZD1,0.7679
2006-05,M0,SGD100,77.3129
2006-05,M0,THB100,3.2083
2006-05,M0,XDR1,1.814807
2006-06,M0,EUR1,1.56
2006-06,M0,GBP1,2.2708
2006-06,M0,DKK100,20.919
2006-06,M0,NOK100,19.85
2006-06,M0,CZK100,5.4973
2006-06,M0,HUF100,0.5733
2006-06,M0,PLN100,38.7495
2006-06,M0,RUB100,4.5648
2006-06,M0,SEK100,16.8862
2006-06,M0,TRY100,76.936667
2006-06,M0,USD1,1.2324
2006-06,M0,CAD1,1.1064
2006-06,M0,ARS100,39.9438
2006-06,M0,BRL100,54.6524
2006-06,M0,MXN100,10.8105
2006-06,M0,ZAR1,0.1767
2006-06,M0,JPY100,1.074562
2006-06,M0,AUD1,0.911748
2006-06,M0,CNY100,15.38795455
2006-06,M0,HKD100,15.873733
2006-06,M0,KRW100,0.129
2006-06,M0,MYR100,33.5876
2006-06,M0,NZD1,0.7617
2006-06,M0,SGD100,77.4467
2006-06,M0,THB100,3.2111
2006-06,M0,XDR1,1.822633
2006-07,M0,EUR1,1.5686
2006-07,M0,GBP1,2.2796
2006-07,M0,DKK100,21.0248
2006-07,M0,NOK100,19.7543
2006-07,M0,CZK100,5.511
2006-07,M0,HUF100,0.5649
2006-07,M0,PLN100,39.2357
2006-07,M0,RUB100,4.5938
2006-07,M0,SEK100,17.0162
2006-07,M0,TRY100,79.406667
2006-07,M0,USD1,1.2363
2006-07,M0,CAD1,1.0959
2006-07,M0,ARS100,40.069
2006-07,M0,BRL100,56.4524
2006-07,M0,MXN100,11.2405
2006-07,M0,ZAR1,0.1744
2006-07,M0,JPY100,1.069043
2006-07,M0,AUD1,0.929476
2006-07,M0,CNY100,15.47995238
2006-07,M0,HKD100,15.902719
2006-07,M0,KRW100,0.13
2006-07,M0,MYR100,33.6852
2006-07,M0,NZD1,0.7629
2006-07,M0,SGD100,78.0605
2006-07,M0,THB100,3.253
2006-07,M0,XDR1,1.828665
2006-08,M0,EUR1,1.5775
2006-08,M0,GBP1,2.3302
2006-08,M0,DKK100,21.1418
2006-08,M0,NOK100,19.7136
2006-08,M0,CZK100,5.5942
2006-08,M0,HUF100,0.5749
2006-08,M0,PLN100,40.4109
2006-08,M0,RUB100,4.5995
2006-08,M0,SEK100,17.1273
2006-08,M0,TRY100,83.764091
2006-08,M0,USD1,1.2305
2006-08,M0,CAD1,1.1
2006-08,M0,ARS100,39.9186
2006-08,M0,BRL100,56.9636
2006-08,M0,MXN100,11.3141
2006-08,M0,ZAR1,0.177
2006-08,M0,JPY100,1.061314
2006-08,M0,AUD1,0.938986
2006-08,M0,CNY100,15.45308696
2006-08,M0,HKD100,15.822182
2006-08,M0,KRW100,0.128
2006-08,M0,MYR100,33.4677
2006-08,M0,NZD1,0.7799
2006-08,M0,SGD100,78.1055
2006-08,M0,THB100,3.2712
2006-08,M0,XDR1,1.830954
2006-09,M0,EUR1,1.5837
2006-09,M0,GBP1,2.345
2006-09,M0,DKK100,21.2267
2006-09,M0,NOK100,19.1781
2006-09,M0,CZK100,5.5761
2006-09,M0,HUF100,0.576
2006-09,M0,PLN100,39.8748
2006-09,M0,RUB100,4.6471
2006-09,M0,SEK100,17.0805
2006-09,M0,TRY100,83.802857
2006-09,M0,USD1,1.2433
2006-09,M0,CAD1,1.1144
2006-09,M0,ARS100,40.0605
2006-09,M0,BRL100,57.4
2006-09,M0,MXN100,11.3162
2006-09,M0,ZAR1,0.1674
2006-09,M0,JPY100,1.061905
2006-09,M0,AUD1,0.939681
2006-09,M0,CNY100,15.68233333
2006-09,M0,HKD100,15.974552
2006-09,M0,KRW100,0.1305
2006-09,M0,MYR100,33.8438
2006-09,M0,NZD1,0.8123
2006-09,M0,SGD100,78.7162
2006-09,M0,THB100,3.3192
2006-09,M0,XDR1,1.843721
2006-10,M0,EUR1,1.5897
2006-10,M0,GBP1,2.3622
2006-10,M0,DKK100,21.3182
2006-10,M0,NOK100,18.94
2006-10,M0,CZK100,5.6168
2006-10,M0,HUF100,0.595
2006-10,M0,PLN100,40.7077
2006-10,M0,RUB100,4.6905
2006-10,M0,SEK100,17.1718
2006-10,M0,TRY100,85.021818
2006-10,M0,USD1,1.26
2006-10,M0,CAD1,1.1163
2006-10,M0,ARS100,40.6082
2006-10,M0,BRL100,58.5591
2006-10,M0,MXN100,11.5509
2006-10,M0,ZAR1,0.1645
2006-10,M0,JPY100,1.0618
2006-10,M0,AUD1,0.949141
2006-10,M0,CNY100,15.94381818
2006-10,M0,HKD100,16.181105
2006-10,M0,KRW100,0.1321
2006-10,M0,MYR100,34.2427
2006-10,M0,NZD1,0.8322
2006-10,M0,SGD100,79.8018
2006-10,M0,THB100,3.3745
2006-10,M0,XDR1,1.857862
2006-11,M0,EUR1,1.5922
2006-11,M0,GBP1,2.3624
2006-11,M0,DKK100,21.3509
2006-11,M0,NOK100,19.3082
2006-11,M0,CZK100,5.6772
2006-11,M0,HUF100,0.6146
2006-11,M0,PLN100,41.5882
2006-11,M0,RUB100,4.6445
2006-11,M0,SEK100,17.4873
2006-11,M0,TRY100,84.656818
2006-11,M0,USD1,1.2358
2006-11,M0,CAD1,1.0879
2006-11,M0,ARS100,40.1355
2006-11,M0,BRL100,57.2909
2006-11,M0,MXN100,11.3259
2006-11,M0,ZAR1,0.17
2006-11,M0,JPY100,1.053268
2006-11,M0,AUD1,0.9538
2006-11,M0,CNY100,15.70963636
