,catégorie,rang,année,pays,temps net,Age,vitesse
618,Hommes II,1308.,1984,CH,"35.48,9",31.0,12.380737693369777
619,Hommes II,344.,1977,F,"30.38,8",38.0,14.45899697248914
620,Hommes II,1653.,1980,CH,"38.10,1",35.0,11.53198078790583
621,Hommes III,1149.,1973,CH,"35.54,3",42.0,12.361927805756409
622,Hommes II,535.,1981,F,"31.50,0",34.0,13.948571428571428
623,Hommes II,1641.,1985,F,"38.05,4",30.0,11.546223787249698
624,Hommes I,219.,1987,CH,"29.55,1",28.0,14.868532367770975
625,Femmes I,86.,1986,CH,"22.32,8",29.0,19.67843067001075
626,Escaladelite Hommes,304.,1981,CH,"28.36,0",34.0,15.492947813822287
627,Hommes I,369.,1987,F,"31.16,4",28.0,14.098960338852521
628,Hommes II,743.,1982,CH,"32.58,0",33.0,13.486187845303869
665,Hommes II,247.,1979,CH,"30.02,3",36.0,14.634780001998468
666,Hommes II,434.,1976,CH,"31.15,6",39.0,14.102580562331495
667,Femmes I,---,1990,F,--------,25.0,
668,Femmes III,1142.,1975,F,"38.01,9",40.0,11.556853152371184
669,Femmes II,---,1976,F,--------,39.0,
670,Femmes II,---,1978,F,--------,37.0,
671,Femmes IV,407.,1961,F,"29.49,9",54.0,14.894742194650666
672,Femmes IV,198.,1965,F,"26.26,5",50.0,16.728726442033125
673,Hommes V,250.,1954,F,"42.42,8",61.0,10.355897049118509
675,Hommes IV,1009.,1965,F,"45.36,8",50.0,9.684799858931404
676,Femmes III,672.,1974,CH,"28.01,5",41.0,15.683740853114404
677,Femmes II,634.,1979,F,"27.28,8",36.0,16.101583113456464
678,Hommes IV,754.,1961,F,"39.32,5",54.0,11.1730451366815
679,Hommes II,526.,1982,F,"31.45,8",33.0,13.967194354377266
680,Femmes III,---,1972,F,--------,43.0,
681,Femmes III,405.,1972,F,"26.03,2",43.0,16.87845728334358
682,Femmes III,699.,1973,F,"28.18,7",42.0,15.588037038351015
683,Hommes III,1618.,1972,F,"39.27,8",43.0,11.186414786903612
684,Femmes III,872.,1975,F,"29.50,8",40.0,14.89019926799512
685,Femmes III,704.,1974,F,"28.20,4",41.0,15.578641327471281
687,Femmes II,744.,1976,F,"28.20,8",39.0,15.57643221781055
710,Hommes II,568.,1980,CH,"31.59,9",35.0,13.904870407291371
711,Hommes II,1008.,1978,CH,"34.20,9",37.0,12.84398842409892
712,Femmes II,1243.,1981,CH,"36.48,2",34.0,12.043747601556932
713,Hommes I,453.,1988,CH,"31.49,6",27.0,13.950342900685802
714,Hommes II,1818.,1980,F,"40.00,1",35.0,10.984225394365142
715,Hommes II,712.,1981,F,"32.48,3",34.0,13.52645999445864
716,Femmes II,1240.,1977,CH,"36.40,1",38.0,12.070547512430977
717,Hommes II,94.,1984,F,"28.38,6",31.0,15.478757133798352
718,Hommes IV,541.,1958,CH,"36.52,4",57.0,12.029898149162195
719,Hommes II,1274.,1980,F,"35.39,4",35.0,12.413968469232074
720,Hommes III,1210.,1968,CH,"36.15,6",47.0,12.15233986060405
721,Hommes III,1510.,1967,F,"38.32,6",48.0,11.464280123153996
722,Hommes III,1108.,1969,CH,"35.40,5",46.0,12.410111566162971
723,Femmes IV,6.,1962,CH,"20.41,1",53.0,21.526627798735976
724,Hommes III,1102.,1974,CH,"35.38,3",41.0,12.417827770398214
725,Hommes III,1144.,1973,CH,"35.51,3",42.0,12.372370681159012
726,Hommes I,988.,1987,CH,"35.59,0",28.0,12.345602697386907
727,Hommes I,1363.,1988,CH,"45.28,2",27.0,9.703193321849744
731,Femmes III,358.,1975,CH,"25.36,7",40.0,17.32092876571924
732,Hommes III,1235.,1969,CH,"36.23,6",46.0,12.12551054200243
734,Hommes III,---,1973,CH,--------,42.0,
735,Femmes III,430.,1973,CH,"26.19,5",42.0,16.77343004390151
738,Hommes II,---,1976,CH,--------,39.0,
742,Hommes III,1904.,1970,CH,"44.27,6",45.0,9.923660673954286
745,Femmes IV,380.,1965,CH,"29.14,1",50.0,15.07772554133352
748,Escaladelite Femmes,159.,1971,CH,"37.13,9",44.0,11.83069011012682
751,Hommes III,208.,1971,CH,"30.27,0",44.0,14.51536174430129
753,Femmes III,1072.,1972,CH,"32.47,6",43.0,13.529375538859465
757,Femmes III,193.,1972,CH,"24.00,6",43.0,18.30292426893277
762,Femmes III,152.,1967,CH,"23.41,0",48.0,18.768902178556175
763,Femmes II,295.,1978,F,"25.12,9",37.0,17.484977516017352
766,Hommes III,---,1972,F,--------,43.0,
771,Femmes III,---,1974,CH,--------,41.0,
772,Hommes II,---,1976,CH,--------,39.0,
784,Escaladelite Hommes,---,1967,CH,--------,48.0,
787,Femmes III,---,1972,CH,--------,43.0,
790,Femmes III,96.,1975,CH,"22.48,2",40.0,19.543634907926343
795,Hommes III,1626.,1975,CH,"39.34,6",40.0,11.167081787221065
796,Femmes III,373.,1972,CH,"25.41,3",43.0,17.289576201156887
807,Hommes III,1643.,1966,CH,"39.44,8",49.0,11.138207260190631
813,Hommes I,775.,1991,CH,"34.02,5",24.0,12.913445995591479
815,Hommes IV,455.,1961,CH,"35.57,1",54.0,12.352197014421861
825,Femmes II,105.,1979,CH,"23.15,8",36.0,18.973141031177132
831,Hommes III,2.,1972,CH,"24.54,7",43.0,17.89953965861409
