,1ère boucle,2ème boucle,3ème boucle,nom,temps net
216,"      8.56,4 ","     9.26,1 ","     9.01,3 ",Ginnetti Justin,"    27.12,1 "
217,"      8.52,9 ","     9.30,4 ","     9.03,6 ",De Meris Sébastien,"    27.12,1 "
218,"      9.00,6 ","     9.22,4 ","     9.04,1 ",Sintes Gabriel,"    27.12,5 "
219,"      8.35,0 ","     9.36,0 ","     9.18,3 ",Niedermaier Tilman,"    27.19,0 "
220,"      8.46,3 ","     9.31,7 ","     9.12,1 ",Boget Yoann,"    27.16,4 "
221,"      9.00,2 ","     9.20,8 ","     9.09,4 ",Marquet Xavier,"    27.15,7 "
222,"      8.32,5 ","     9.33,6 ","     9.24,4 ",Roudier Antoine,"    27.20,7 "
223,"      8.52,8 ","     9.25,8 ","     9.12,0 ",Hurtado Victor,"    27.21,0 "
224,"      8.46,9 ","     9.35,5 ","     9.08,9 ",Santi Jeremy,"    27.18,6 "
225,"      8.35,0 ","     9.36,9 ","     9.20,1 ",Duperrut Christopher,"    27.21,7 "
226,"      8.49,2 ","     9.35,1 ","     9.10,1 ",Arbia Ali,"    27.23,9 "
227,"      8.51,4 ","     9.42,3 ","     9.09,3 ",Gruau Stanislas,"    27.29,0 "
228,"      8.55,3 ","     9.33,8 ","     9.15,8 ",Rondags Daniel,"    27.31,5 "
229,"      8.53,9 ","     9.32,8 ","     9.20,2 ",Morel Philip,"    27.34,1 "
230,"      8.46,2 ","     9.33,1 ","     9.28,2 ",Pittet Laurent,"    27.36,8 "
231,"      9.00,2 ","     9.37,5 ","     9.11,4 ",Laatiki Ali,"    27.33,7 "
232,"      8.44,8 ","     9.39,4 ","     9.25,2 ",Sahraoui Lazhar,"    27.39,1 "
233,"      8.51,3 ","     9.35,5 ","     9.22,9 ",Hairer Daniel,"    27.38,3 "
234,"      8.58,8 ","     9.28,4 ","     9.23,6 ",Hoffer Xavier,"    27.37,5 "
235,"      8.54,8 ","     9.44,2 ","     9.11,9 ",Martignoni Luca,"    27.39,5 "
236,"      8.59,3 ","     9.34,5 ","     9.17,6 ",Bourquard Franck,"    27.40,6 "
237,"      8.55,6 ","     9.45,3 ","     9.11,6 ",Ferreira Marco,"    27.41,5 "
238,"      8.57,1 ","     9.34,1 ","     9.21,8 ",Cano Pablo,"    27.38,3 "
239,"      9.11,3 ","     9.37,0 ","     9.05,4 ",Fischer Georg,"    27.40,1 "
240,"      9.01,4 ","     9.34,2 ","     9.18,2 ",Schaefer Frederic,"    27.43,6 "
241,"      9.22,5 ","     9.40,2 ","     8.52,9 ",Meunier Jérémy,"    27.41,6 "
242,"      9.12,0 ","     9.36,6 ","     9.08,5 ",Bochet Thomas,"    27.42,9 "
243,"      9.02,3 ","     9.39,3 ","     9.17,6 ",Frey Max-André,"    27.47,6 "
244,"      9.02,7 ","     9.31,2 ","     9.26,0 ",Bruchez Gillian,"    27.48,0 "
245,"      8.54,4 ","     9.47,6 ","     9.18,9 ",Blakley Matthew,"    27.48,0 "
246,"      9.00,9 ","     9.40,2 ","     9.22,1 ",Battistel Fabrice,"    27.51,5 "
247,"      8.56,7 ","     9.48,8 ","     9.18,3 ",Dubey Damien,"    27.49,7 "
248,"      9.01,6 ","     9.41,6 ","     9.22,1 ",De Dompierre Marc,"    27.54,2 "
249,"      9.11,0 ","     9.44,8 ","     9.09,5 ",Vasey Mathieu,"    27.50,5 "
250,"      9.15,5 ","     9.36,4 ","     9.14,0 ",Benavent Sergio,"    27.51,8 "
251,"      9.05,3 ","     9.46,4 ","     9.14,8 ",Hoffmeyer Nolan,"    27.53,8 "
252,"      8.54,2 ","     9.44,5 ","     9.28,4 ",Bagneux Nicolas,"    27.53,9 "
253,"      9.08,9 ","     9.42,3 ","     9.17,9 ",Lyon Stéphane,"    27.58,8 "
