"Strassenfahrzeugbestand: Personenwagen ab 1990"

"Kanton";"Treibstoff";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Vaud";"Diesel";9019;9408;9658;9986;10710;11398;12107;12657;13113;13972;15117;17896;21606;26357;31768;37166;44447;52293;60992;66818;73953;82088;91335;99648;105522;111124
"Vaud";"Elektrisch";7;11;8;14;18;15;16;14;17;13;15;16;12;11;11;13;10;10;10;7;12;38;91;146;250;411
"Vaud";"Andere";0;0;74;96;98;82;55;37;44;27;22;28;19;46;64;369;408;836;1554;1962;2476;3039;3712;4465;5248;6133
"Valais / Wallis";"Benzin";113913;119251;121924;122916;124999;126872;129821;131969;135140;138276;140293;143089;145290;147117;147572;148381;149091;148937;147155;148288;148586;149894;150527;149232;148422;148465
"Valais / Wallis";"Diesel";4427;4783;5049;5331;5669;5971;6362;6645;6967;7501;8136;9305;11114;13258;15595;18059;21323;24705;27854;32218;36072;40569;45859;50591;54830;58885
"Valais / Wallis";"Elektrisch";83;97;105;110;121;132;147;154;166;199;205;174;182;182;185;189;198;195;189;189;198;217;241;268;311;405
"Valais / Wallis";"Andere";1;1;2;1;4;6;7;6;9;8;9;11;3;4;7;44;35;170;407;535;674;828;1085;1289;1512;1684
"Neuchâtel";"Benzin";72926;74453;73732;73591;74277;75451;77031;77518;78051;78895;80069;80577;80355;79676;78952;77462;75141;74111;73123;72413;72528;72711;72805;72521;71234;70779
"Neuchâtel";"Diesel";2423;2584;2705;2870;3114;3341;3675;3805;3920;4143;4492;5153;6188;7309;8814;10194;11671;13251;14646;15695;16942;18365;19931;21445;22862;24234
"Neuchâtel";"Elektrisch";1;2;2;2;3;3;2;1;2;0;0;1;1;1;4;4;5;4;5;4;2;7;18;21;43;80
"Neuchâtel";"Andere";0;0;0;0;0;0;0;1;1;1;2;2;5;18;26;74;77;145;343;414;508;630;763;903;1052;1162
"Genève";"Benzin";183913;186879;186393;185434;187271;189676;191765;193440;195395;198265;202960;206713;208069;207623;206636;204711;198582;192591;185142;180343;178324;176088;173274;169600;166747;165314
"Genève";"Diesel";5733;6005;6311;6371;6688;7108;7667;8171;8543;8992;9746;10893;12759;14705;16979;19486;23158;26600;29885;33499;36703;40231;44094;46790;49552;51943
"Genève";"Elektrisch";6;11;13;15;17;20;17;20;22;24;22;20;20;20;19;18;17;15;21;16;18;31;53;85;144;266
"Genève";"Andere";0;0;0;97;278;430;507;398;277;215;174;146;6;10;8;479;953;2045;2654;1151;1459;1920;2345;2800;3193;3620
"Jura";"Benzin";28136;28908;29122;29159;29819;30117;30655;31423;31977;32604;32843;33173;33209;33373;33376;33233;32636;32475;32317;31787;32009;32183;32083;32109;31970;31915
"Jura";"Diesel";820;926;981;1082;1167;1315;1431;1496;1546;1649;1732;1936;2236;2640;3093;3668;4326;4894;5450;5906;6442;7019;7696;8432;8994;9534
"Jura";"Elektrisch";4;3;3;1;1;0;0;1;0;0;0;1;1;1;1;1;2;1;0;0;0;1;17;39;50;56
"Jura";"Andere";0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;11;17;178;121;108;149;209;281;362;424;484
"Bund";"Benzin";5937;6092;5948;5863;5808;5659;5770;5716;1906;1861;1606;1534;1457;387;128;117;91;88;86;86;38;37;0;0;0;0
"Bund";"Diesel";133;150;149;152;179;181;176;186;170;224;244;234;277;107;70;72;41;41;40;40;7;7;0;0;0;0
"Bund";"Elektrisch";4;4;4;4;4;3;4;5;3;2;1;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0
"Bund";"Andere";0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
