,1ère boucle,2ème boucle,3ème boucle,nom,temps net
224,"     8.58,8 ","     9.38,0 ","     9.30,8 ",Perroux Philippe,"     28.02,1 "
225,"     9.19,6 ","     9.38,4 ","     9.10,2 ",Beran Antoine,"     28.00,3 "
226,"     9.19,4 ","     9.36,4 ","     9.12,7 ",Thibaud Jérôme,"     27.57,3 "
227,"     9.19,3 ","     9.48,4 ","     9.02,2 ",Gelmini Olivier,"     28.02,5 "
228,"     9.19,4 ","     9.40,2 ","     9.11,0 ",Panchaud Christophe,"     28.01,4 "
229,"     8.46,6 ","     9.51,1 ","     9.33,7 ",Dechevrens Alain,"     28.04,1 "
230,"     9.00,4 ","     9.49,0 ","     9.22,4 ",Hirtz Christian,"     28.04,5 "
231,"     8.58,5 ","     9.52,0 ","     9.21,3 ",Vilallonga Francois,"     28.04,3 "
232,"     9.33,6 ","     9.36,4 ","     9.02,1 ",Fischer Georg,"     27.57,9 "
233,"     9.20,7 ","     9.44,9 ","     9.06,7 ",Sarrazin Marc,"     28.00,3 "
234,"     9.07,7 ","     9.40,5 ","     9.24,8 ",Dumalle Florian,"     28.06,6 "
235,"     9.00,0 ","     9.45,7 ","     9.28,2 ",Delavy Cédric,"     28.07,0 "
236,"     9.12,1 ","     9.42,0 ","     9.20,8 ",Chollet Grégory,"     28.01,9 "
237,"     9.15,6 ","     9.38,6 ","     9.21,1 ",Faes Antonin,"     28.02,0 "
238,"     9.23,1 ","     9.44,8 ","     9.07,8 ",Ellison Anthony,"     28.05,4 "
239,"     9.15,6 ","     9.49,5 ","     9.11,6 ",Brossault Clément,"     28.09,1 "
240,"     9.02,4 ","     9.44,6 ","     9.29,9 ",Punzi Ludovic,"     28.08,0 "
241,"     9.30,3 ","     9.37,1 ","     9.09,7 ",Schaffter Clément,"     28.03,2 "
242,"     9.12,2 ","     9.42,8 ","     9.23,0 ",Luisier Robin,"     28.04,2 "
243,"     9.14,8 ","     9.47,0 ","     9.17,7 ",Vogt François,"     28.13,6 "
244,"     8.31,4 ","    10.01,3 ","     9.46,9 ",Wolf Fabien,"     28.07,7 "
245,"     9.17,6 ","     9.43,5 ","     9.19,3 ",Peschot Guillaume,"     28.10,5 "
246,"     9.16,5 ","     9.41,8 ","     9.23,0 ",Cornet Hervé,"     28.14,6 "
247,"     9.32,2 ","     9.29,5 ","     9.21,7 ",Comer Adrian,"     28.10,5 "
248,"     9.21,3 ","     9.43,6 ","     9.19,7 ",Tomis Pierre,"     28.12,9 "
249,"     8.58,4 ","     9.52,0 ","     9.36,3 ",Russo Simon,"     28.19,3 "
250,"     9.21,8 ","     9.43,3 ","     9.21,7 ",Chatelain Frédéric,"     28.19,0 "
251,"     9.02,0 ","     9.59,2 ","     9.25,8 ",Corajod Damien,"     28.17,6 "
252,"     9.15,3 ","     9.51,9 ","     9.20,6 ",Couture Nicolas,"     28.15,7 "
253,"     9.16,0 ","     9.44,8 ","     9.27,4 ",Frey Max-André,"     28.18,7 "
254,"     9.04,6 ","     9.50,3 ","     9.33,8 ",Vonlanthen Sébastien,"     28.20,2 "
255,"     9.22,6 ","     9.41,3 ","     9.25,1 ",Lueke Michael,"     28.19,1 "
256,"     9.09,3 ","     9.51,2 ","     9.29,2 ",Desgeorges Fabrice,"     28.20,6 "
257,"     8.54,8 ","     9.52,4 ","     9.43,4 ",Dufournet Marc,"     28.22,8 "
258,"     9.12,1 ","     9.54,7 ","     9.25,0 ",Rodrigues De Almeida Tony,"     28.22,4 "
259,"     9.08,2 ","     9.54,1 ","     9.29,9 ",Roulin Sacha,"     28.26,4 "
260,"     8.49,3 ","     9.59,4 ","     9.43,7 ",Bertuzzi Vincent,"     28.27,8 "
261,"     9.26,3 ","     9.44,6 ","     9.22,1 ",Dorsaz Stéphane,"     28.20,8 "
262,"     9.28,8 ","     9.47,5 ","     9.17,0 ",Navarro Charles,"     28.21,9 "
263,"     9.13,7 ","     9.46,9 ","     9.33,6 ",Bourgeat Laurent,"     28.25,0 "
264,"     9.15,8 ","     9.56,9 ","     9.23,4 ",De Vries Reilingh Daniel,"     28.27,3 "
265,"     9.11,9 ","     9.55,5 ","     9.28,9 ",Gori François,"     28.29,8 "
266,"     9.25,0 ","     9.51,9 ","     9.19,6 ",Neupert Holger,"     28.28,2 "
267,"     8.11,0 ","    10.13,2 ","    10.12,9 ",Funcasta Eric,"     28.27,3 "
268,"     8.58,7 ","     9.56,5 ","     9.42,8 ",Delachaux Thierry,"     28.33,0 "
269,"     9.14,5 ","     9.54,2 ","     9.29,7 ",Baptiste Cyrille,"     28.25,4 "
270,"     9.15,8 ","     9.41,8 ","     9.40,8 ",Daudin Benoit,"     28.30,2 "
271,"     9.34,1 ","     9.37,1 ","     9.27,3 ",Thiebaud Maurice,"     28.24,6 "
272,"     9.07,7 ","     9.52,5 ","     9.38,5 ",Basler Marcel,"     28.31,7 "
273,"     9.14,6 ","     9.50,9 ","     9.33,3 ",Gilliand Patrick,"     28.31,4 "
274,"     9.17,3 ","     9.45,7 ","     9.36,1 ",Rollinson Philip,"     28.29,1 "
275,"     9.15,6 ","     9.50,5 ","     9.33,5 ",Jenny Christian,"     28.33,1 "
276,"     8.58,4 ","     9.59,2 ","     9.42,3 ",Gevisier Pascal,"     28.32,4 "
277,"     9.17,4 ","     9.49,7 ","     9.33,3 ",Wehrle-Haller Bernhard,"     28.28,2 "
278,"     9.02,3 ","     9.59,1 ","     9.39,4 ",Philibert Xavier,"     28.30,4 "
