P. Name,P. Mass Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. ESI,P. Habitable,P. Hab Moon
GJ 581 e,Terran,non-habitable,1.94,1.27,0.95,1.2,1.24,439.4,501.5,612.2,1.8,3.15,0.028,0.03,GJ 581,Libra,M2.5V,0.31,0.3,3498,0.01209,8,6.21,3,0,0.09,0.233,0.37,0,0
GJ 649 b,Jovian,non-habitable,104.28,7.89,0.21,1.68,3.64,90.1,102.2,122.8,22.1,598.3,1.135,1.08,GJ 649,Hercules,M1.5,0.54,0.45,3700,0.034123,,10.34,2,0,0.151,0.387,0.19,0,0
GJ 649 c,Superterran,non-habitable,9.54,1.96,1.26,2.48,2.21,482.1,526.7,590.4,12.1,4.48,0.043,0.04,GJ 649,Hercules,M1.5,0.54,0.45,3700,0.034123,,10.34,2,0,0.151,0.387,0.32,0,0
GJ 667 C b,Superterran,non-habitable,5.6,1.71,1.12,1.92,1.81,364.9,387.5,415.8,6.3,7.2,0.0505,0.05,GJ 667 C,Scorpio,M1.5V,0.33,0.35,3350,0.0137,2,6.8,6,3,0.096,0.251,0.47,0,0
GJ 667 C c,Terran,mesoplanet,3.8,1.54,1.05,1.61,1.57,244.1,246.5,249,4,28.14,0.125,0.12,GJ 667 C,Scorpio,M1.5V,0.33,0.35,3350,0.0137,2,6.8,6,3,0.096,0.251,0.84,1,0
GJ 667 C d,Superterran,non-habitable,5.1,1.67,1.1,1.84,1.75,163.5,165.9,168.5,5.6,91.61,0.276,0.28,GJ 667 C,Scorpio,M1.5V,0.33,0.35,3350,0.0137,2,6.8,6,3,0.096,0.251,0.47,0,0
GJ 667 C e,Terran,psychroplanet,2.7,1.4,0.99,1.39,1.39,187,188.9,190.8,2.7,62.24,0.213,0.21,GJ 667 C,Scorpio,M1.5V,0.33,0.35,3350,0.0137,2,6.8,6,3,0.096,0.251,0.6,1,0
GJ 667 C f,Terran,psychroplanet,2.7,1.4,0.99,1.39,1.39,217.4,220.7,224.1,2.7,39.03,0.156,0.16,GJ 667 C,Scorpio,M1.5V,0.33,0.35,3350,0.0137,2,6.8,6,3,0.096,0.251,0.77,1,0
GJ 667 C g,Terran,non-habitable,4.6,1.62,1.08,1.75,1.69,113.2,117.6,122.6,5,256.2,0.549,0.55,GJ 667 C,Scorpio,M1.5V,0.33,0.35,3350,0.0137,2,6.8,6,3,0.096,0.251,0.33,0,0
GJ 674 b,Neptunian,non-habitable,12.72,12.66,0.01,0.08,1,503.6,520.7,540.2,0.1,4.69,0.039,0.04,GJ 674,Ara,M2.5,0.35,0.42,3600,0.026583,0.55,4.54,1,0,0.133,0.344,0.13,0,0
GJ 676 A b,Jovian,non-habitable,1573.8,11.68,0.99,11.53,11.61,91.6,104.9,128.8,1553.5,1050.3,1.8,1.7,GJ 676 A,Ara,M0V,0.71,0.7,3840,0.095572,,16.45,4,0,0.252,0.642,0.11,0,0
GJ 676 A c,Jovian,non-habitable,953.82,11.56,0.62,7.14,9.08,56.7,62,69.5,588.8,4400,5.2,5.09,GJ 676 A,Ara,M0V,0.71,0.7,3840,0.095572,,16.45,4,0,0.252,0.642,0.09,0,0
GJ 676 A d,Terran,non-habitable,4.45,1.6,1.08,1.73,1.67,650,696,756,4.8,3.6,0.0413,0.04,GJ 676 A,Ara,M0V,0.71,0.7,3840,0.095572,,16.45,4,0,0.252,0.642,0.3,0,0
GJ 676 A e,Neptunian,non-habitable,11.45,3.86,0.2,0.77,1.72,294.2,326.4,375.8,2.3,35.37,0.187,0.18,GJ 676 A,Ara,M0V,0.71,0.7,3840,0.095572,,16.45,4,0,0.252,0.642,0.57,0,0
GJ 682 b,Terran,non-habitable,4.4,1.6,1.08,1.72,1.66,282.7,293.7,306.3,4.7,17.48,0.08,0.08,GJ 682,Scorpio,M3.5V,0.27,0.39,3028,0.01132,,5.08,2,1,0.087,0.232,0.74,0,0
GJ 682 c,Superterran,psychroplanet,8.7,1.92,1.24,2.37,2.13,188.9,198,208.8,10.8,57.32,0.176,0.18,GJ 682,Scorpio,M3.5V,0.27,0.39,3028,0.01132,,5.08,2,1,0.087,0.232,0.59,1,0
GJ 687 b,Neptunian,non-habitable,18.44,4.53,0.2,0.9,2.02,236,240.7,245.6,3.7,38.14,0.1635,0.16,GJ 687,Draco,M3.5V,0.41,0.42,3413,0.021302,,4.5,1,1,0.119,0.311,0.67,0,0
GJ 758 b,Jovian,non-habitable,11127.9,10.01,11.08,110.99,33.34,26.8,32.8,50.8,123348.5,109000,44.8,36.99,GJ 758,Lyra,K0V,0.97,0.88,5425,0.601803,8.2,15.5,1,0,0.594,1.415,0.04,0,0
GJ 785 b,Neptunian,non-habitable,16.91,4.4,0.2,0.87,1.96,311,330.3,354.5,3.4,74.72,0.32,0.32,GJ 785,Capricorn,K1V,0.78,0.68,5144,0.290477,,8.91,2,0,0.419,1.008,0.54,0,0
GJ 785 c,Neptunian,non-habitable,24.16,4.95,0.2,0.98,2.21,149.9,171.1,208.8,4.8,525.8,1.18,1.12,GJ 785,Capricorn,K1V,0.78,0.68,5144,0.290477,,8.91,2,0,0.419,1.008,0.43,0,0
GJ 832 b,Jovian,non-habitable,216,9.51,0.25,2.39,4.77,52.2,54.2,56.5,54.3,3657,3.56,3.55,GJ 832,Grus,M1.5,0.45,0.45,3472,0.026036,,4.95,2,1,0.132,0.343,0.13,0,0
GJ 832 c,Superterran,mesoplanet,5.4,1.69,1.12,1.89,1.79,233.4,253,279.9,6,35.68,0.163,0.16,GJ 832,Grus,M1.5,0.45,0.45,3472,0.026036,,4.95,2,1,0.132,0.343,0.81,1,0
GJ 849 b,Jovian,non-habitable,286.15,10.07,0.28,2.82,5.33,57.1,57.4,57.8,80.1,1914,2.35,2.35,GJ 849,Aquarius,M3.5V,0.49,0.52,3840,0.014259,,9.1,2,0,0.097,0.248,0.12,0,0
GJ 849 c,Jovian,non-habitable,244.81,9.77,0.26,2.57,5.01,33.5,36.9,41.8,64.3,7049,5.671,5.53,GJ 849,Aquarius,M3.5V,0.49,0.52,3840,0.014259,,9.1,2,0,0.097,0.248,0.13,0,0
GJ 876 b,Jovian,non-habitable,616.17,11.23,0.44,4.89,7.41,194.2,194.2,194.2,268.3,61.03,0.2083,0.21,GJ 876,Aquarius,M4 V,0.33,0.36,3350,0.014644,2.5,4.7,4,2,0.099,0.259,0.34,0,0
GJ 876 c,Jovian,non-habitable,272.16,9.98,0.27,2.73,5.22,245.9,246.2,246.4,74.6,30.23,0.1296,0.13,GJ 876,Aquarius,M4 V,0.33,0.36,3350,0.014644,2.5,4.7,4,2,0.099,0.259,0.48,0,0
GJ 876 d,Superterran,non-habitable,6.99,1.81,1.18,2.13,1.97,591,614.2,640.9,8.2,1.94,0.0208,0.02,GJ 876,Aquarius,M4 V,0.33,0.36,3350,0.014644,2.5,4.7,4,2,0.099,0.259,0.3,0,0
GJ 876 e,Neptunian,non-habitable,14.31,4.16,0.2,0.83,1.86,148,153.2,159.2,2.8,124.69,0.3343,0.33,GJ 876,Aquarius,M4 V,0.33,0.36,3350,0.014644,2.5,4.7,4,2,0.099,0.259,0.38,0,0
GJ 1132 b,Terran,non-habitable,1.62,1.15,1.06,1.22,1.19,528.6,528.6,528.6,1.7,1.63,0.0154,0.02,GJ 1132,Vela,M3.5,0.18,0.21,3270,0.004396,5,12.04,1,0,0.054,0.143,0.36,0,0
GJ 1214 b,Superterran,non-habitable,6.46,2.67,0.34,0.91,1.56,463.3,519.6,611,2.2,1.58,0.0141,0.01,GJ 1214,Ophiuchus,M,0.15,0.22,3026,0.00351,6,13,1,0,0.049,0.129,0.29,0,0
GJ 3021 b,Jovian,non-habitable,1071.46,11.61,0.68,7.95,9.61,269.3,325.3,473.4,733.4,133.71,0.49,0.42,GJ 3021,Hydrus,G6 V,0.9,0.9,5540,0.684564,8.77,17.62,1,0,0.63,1.494,0.31,0,0
GJ 3293 b,Neptunian,non-habitable,24.01,4.94,0.2,0.98,2.2,248.4,259.2,271.9,4.8,30.6,0.1434,0.14,GJ 3293,Eridanus,M2.5,0.42,0.41,3466,0.022085,,18.2,3,2,0.122,0.316,0.66,0,0
GJ 3293 c,Superterran,psychroplanet,8.57,1.91,1.23,2.35,2.12,207.1,222.7,243.4,10.6,48.14,0.1939,0.19,GJ 3293,Eridanus,M2.5,0.42,0.41,3466,0.022085,,18.2,3,2,0.122,0.316,0.7,1,0
GJ 3293 d,Neptunian,non-habitable,22.3,4.82,0.2,0.96,2.15,139,161.3,205,4.4,123.98,0.3644,0.34,GJ 3293,Eridanus,M2.5,0.42,0.41,3466,0.022085,,18.2,3,2,0.122,0.316,0.4,0,0
GJ 3341 b,Superterran,non-habitable,6.6,1.78,1.16,2.07,1.92,307.8,350.1,424.1,7.7,14.21,0.089,0.08,GJ 3341,Columba,M2.5,0.47,0.46,3526,0.028964,,23.2,1,0,0.139,0.361,0.53,0,0
GJ 3470 b,Neptunian,non-habitable,13.91,4.19,0.19,0.79,1.82,624.2,624.2,624.2,2.6,3.34,0.0356,0.04,GJ 3470,Cancer,M1.5,0.54,0.55,3600,0.045585,1,29.28,1,0,0.174,0.45,0.2,0,0
GJ 3634 b,Superterran,non-habitable,8.27,1.89,1.22,2.31,2.09,544.3,565.4,589.7,10.1,2.65,0.0287,0.03,GJ 3634,Hydra,M2.5,0.45,0.43,3314,0.02001,,19.8,1,0,0.116,0.304,0.31,0,0
GQ Lup b,Jovian,non-habitable,6835.71,20.16,0.83,16.82,18.41,21.5,21.5,21.5,5702.9,,103,103,GQ Lup,Lupus,K7eV,0.7,0.92,5150,0.53488,0.001,140,1,0,0.569,1.367,0.05,0,0
GSC 6214-210 b,Jovian,non-habitable,5404.98,11.14,3.91,43.53,22.02,8.5,8.5,8.5,21113.2,,320,320,GSC 6214-210,Scorpio,M1,0.6,0.82,3840,0.1296,0.011,145,1,0,0.293,0.747,0.05,0,0
GU Psc b,Jovian,non-habitable,3497.34,15.12,1.01,15.3,15.21,2.2,2.2,2.2,3538.5,,2000,2000,GU Psc,Pisces,M3,0.35,0.33,3840,0.021207,0.1,48,1,0,0.118,0.302,0.06,0,0
HAT-P-1 b,Jovian,non-habitable,166.92,14.77,0.05,0.76,3.36,1172.9,1211.2,1254.3,8.6,4.47,0.0556,0.06,HAT-P-1,Lacerta,GOV,1.15,1.17,5980,1.58136,3.6,139,1,0,0.932,2.185,0.06,0,0
HAT-P-2 b,Jovian,non-habitable,2778.8,10.65,2.3,24.49,16.15,1097.6,1327.6,1945.4,6390.2,5.63,0.0674,0.06,HAT-P-2,Hercules,F8,1.34,1.54,6414,3.6012,2.7,118,1,0,1.37,3.185,0.08,0,0
HAT-P-3 b,Jovian,non-habitable,187.9,9.26,0.24,2.19,4.5,1047.2,1047.2,1047.2,44.4,2.9,0.0387,0.04,HAT-P-3,Ursa Major,K,0.92,0.8,5224,0.426576,1.6,130,1,0,0.506,1.213,0.1,0,0
HAT-P-4 b,Jovian,non-habitable,216.2,14.22,0.08,1.07,3.9,1550.7,1550.7,1550.7,16.2,3.06,0.0446,0.04,HAT-P-4,Bootes,F,1.26,1.59,5890,2.729891,4.2,310,1,0,1.232,2.893,0.06,0,0
HAT-P-5 b,Jovian,non-habitable,337.02,14.02,0.12,1.71,4.9,1387.4,1387.4,1387.4,41.2,2.79,0.0408,0.04,HAT-P-5,Eridanus,G,1.16,1.14,5960,1.46351,1.7,340,1,0,0.898,2.106,0.07,0,0
HAT-P-6 b,Jovian,non-habitable,336.06,14.9,0.1,1.51,4.75,1529.9,1529.9,1529.9,34.2,3.85,0.0524,0.05,HAT-P-6,Andromeda,F,1.29,1.46,6570,3.563338,2.3,200,1,0,1.351,3.132,0.06,0,0
HAT-P-7 b,Jovian,non-habitable,553.53,16.03,0.13,2.15,5.88,2004.8,2004.8,2004.8,74.4,2.2,0.0379,0.04,HAT-P-7,Cygnus,F,1.51,2,6259,5.507693,2.07,320,1,0,1.71,3.986,0.06,0,0
HAT-P-8 b,Jovian,non-habitable,426.04,16.8,0.09,1.51,5.04,1621.7,1621.7,1621.7,38.3,3.08,0.0449,0.04,HAT-P-8,Pegasus,F,1.28,1.58,6200,3.309563,3.4,230,1,0,1.331,3.105,0.06,0,0
HAT-P-9 b,Jovian,non-habitable,213.02,15.68,0.06,0.87,3.69,1397.3,1397.3,1397.3,11.8,3.92,0.053,0.05,HAT-P-9,Auriga,F,1.28,1.32,6350,2.541748,1.6,480,1,0,1.156,2.689,0.06,0,0
HAT-P-11 b,Neptunian,non-habitable,26.21,4.73,0.25,1.17,2.35,724.4,790.9,885.3,6.5,4.89,0.053,0.05,HAT-P-11,Cygnus,K4,0.81,0.75,4780,0.263466,6.5,38,1,0,0.406,0.991,0.17,0,0
HAT-P-12 b,Jovian,non-habitable,66.92,10.69,0.05,0.59,2.5,875.4,875.4,875.4,3.7,3.21,0.0384,0.04,HAT-P-12,Canes Venatici,K,0.73,0.7,4650,0.205541,2.5,142.5,1,0,0.361,0.885,0.09,0,0
HAT-P-13 b,Jovian,non-habitable,270.25,14.34,0.09,1.31,4.34,1493.8,1504.3,1515.1,24.8,2.92,0.0426,0.04,HAT-P-13,Ursa Major,G4,1.22,1.56,5638,2.206172,5,214,2,0,1.124,2.658,0.06,0,0
HAT-P-13 c,Jovian,non-habitable,4540.18,11.32,3.13,35.41,20.02,221.2,276.3,490.1,14199.8,446.27,1.186,0.89,HAT-P-13,Ursa Major,G4,1.22,1.56,5638,2.206172,5,214,2,0,1.124,2.658,0.33,0,0
HAT-P-14 b,Jovian,non-habitable,699.47,13.44,0.29,3.87,7.21,1382.6,1445.9,1520.7,201.5,4.63,0.0594,0.06,HAT-P-14,Hercules,F,1.39,1.47,6600,3.668747,1.3,205,1,0,1.368,3.172,0.07,0,0
HAT-P-15 b,Jovian,non-habitable,618.71,12.01,0.36,4.29,7.18,753.3,819.9,913.1,221.2,10.86,0.0964,0.09,HAT-P-15,Perseus,G5,1.01,1.08,5568,1.005852,6.8,190,1,0,0.762,1.806,0.08,0,0
HAT-P-16 b,Jovian,non-habitable,1333.12,14.44,0.44,6.4,9.61,1460,1485.9,1513.5,590.6,2.78,0.0413,0.04,HAT-P-16,Andromeda,F8,1.22,1.24,6158,1.974186,2,235,1,0,1.03,2.406,0.06,0,0
HAT-P-17 b,Jovian,non-habitable,169.78,11.31,0.12,1.33,3.87,614.2,707.1,881.1,19.9,10.34,0.0882,0.08,HAT-P-17,Cygnus,K,0.86,0.84,5246,0.476051,7.8,90,2,0,0.534,1.279,0.09,0,0
HAT-P-17 c,Jovian,non-habitable,445.12,10.82,0.35,3.8,6.41,121.7,127.5,134.5,156.4,1798,2.75,2.74,HAT-P-17,Cygnus,K,0.86,0.84,5246,0.476051,7.8,90,2,0,0.534,1.279,0.17,0,0
HAT-P-18 b,Jovian,non-habitable,58.18,10.61,0.05,0.52,2.34,731.3,768.5,813.4,2.8,5.51,0.0559,0.06,HAT-P-18,Hercules,K,0.77,0.72,4870,0.259444,12.4,166,1,0,0.401,0.976,0.09,0,0
HAT-P-19 b,Jovian,non-habitable,92.84,12.68,0.05,0.58,2.71,893.5,922.7,955.5,4.2,4.01,0.0466,0.05,HAT-P-19,Andromeda,K,0.84,0.82,4990,0.374041,8.8,215,1,0,0.479,1.159,0.08,0,0
HAT-P-20 b,Jovian,non-habitable,2303.79,9.71,2.52,24.43,15.4,881.8,888.3,895.1,5796.6,2.88,0.0361,0.04,HAT-P-20,Gemini,K7,0.76,0.69,4595,0.192642,6.7,70,1,0,0.35,0.86,0.1,0,0
HAT-P-21 b,Jovian,non-habitable,1291.79,11.47,0.86,9.82,10.61,1051.6,1161.5,1326.3,1106.2,4.12,0.0494,0.05,HAT-P-21,Ursa Major,G3,0.95,1.1,5588,1.068169,10.2,254,1,0,0.784,1.858,0.08,0,0
HAT-P-22 b,Jovian,non-habitable,682.62,12.1,0.39,4.67,7.51,1162.5,1171.7,1181.2,263.3,3.21,0.0414,0.04,HAT-P-22,Ursa Major,G5,0.92,1.04,5302,0.766859,12.4,82,1,0,0.675,1.615,0.08,0,0
HAT-P-23 b,Jovian,non-habitable,664.49,15.32,0.18,2.83,6.59,1852.1,1946.4,2060,122.8,1.21,0.0232,0.02,HAT-P-23,Delphinus,G5,1.13,1.29,5924,1.838779,4,393,1,0,1.009,2.368,0.06,0,0
HAT-P-24 b,Jovian,non-habitable,217.79,13.91,0.08,1.13,3.96,1447.8,1495,1548.2,17.6,3.36,0.0465,0.05,HAT-P-24,Gemini,F8,1.19,1.32,6373,2.567066,2.8,306,1,0,1.16,2.698,0.07,0,0
HAT-P-25 b,Jovian,non-habitable,180.27,13.33,0.08,1.01,3.68,1083,1100.1,1118.2,13.7,3.65,0.0466,0.05,HAT-P-25,Aries,G5,1.01,0.96,5500,0.755054,3.2,297,1,0,0.663,1.574,0.07,0,0
HAT-P-26 b,Neptunian,non-habitable,18.61,6.32,0.07,0.47,1.72,856.8,907.4,970.5,1.4,4.23,0.0479,0.05,HAT-P-26,Virgo,K1,0.82,0.79,5079,0.370728,9,134,1,0,0.475,1.145,0.13,0,0
HAT-P-27-WASP-40 b,Jovian,non-habitable,209.84,11.82,0.13,1.5,4.21,1062.5,1102.7,1148.9,26.7,3.04,0.0403,0.04,HAT-P-27-WASP-40,Virgo,G8,0.94,0.9,5300,0.570881,4.4,204,1,0,0.583,1.393,0.08,0,0
HAT-P-28 b,Jovian,non-habitable,199.03,13.57,0.08,1.08,3.83,1231.6,1262.4,1296.1,15.8,3.26,0.0434,0.04,HAT-P-28,Andromeda,G3,1.02,1.1,5680,1.136146,6.1,395,1,0,0.805,1.901,0.07,0,0
HAT-P-29 b,Jovian,non-habitable,247.36,12.4,0.13,1.61,4.47,1098.8,1149.1,1208.6,32.1,5.72,0.0667,0.07,HAT-P-29,Perseus,F8,1.21,1.22,6087,1.845295,2.2,322,1,0,1,2.34,0.07,0,0
HAT-P-30-WASP-51 b,Jovian,non-habitable,226.06,15.01,0.07,1,3.88,1526.2,1552.5,1580.5,15.1,2.81,0.0419,0.04,HAT-P-30-WASP-51,Hydra,F,1.18,1.33,6250,2.42166,1,193,1,0,1.135,2.645,0.06,0,0
HAT-P-31 b,Jovian,non-habitable,690.25,11.98,0.4,4.81,7.59,1191.9,1324.7,1530.4,276.8,5.01,0.055,0.05,HAT-P-31,Hercules,F,1.22,1.36,6065,2.245385,3.17,354,1,0,1.105,2.586,0.08,0,0
HAT-P-32 b,Jovian,non-habitable,299.18,22.81,0.03,0.57,3.62,1558,1677.4,1836.5,7.5,2.15,0.0344,0.03,HAT-P-32,Andromeda,F/G,1.18,1.39,6001,2.238398,3.8,320,1,0,1.108,2.595,0.04,0,0
HAT-P-33 b,Jovian,non-habitable,242.59,20.46,0.03,0.58,3.44,1565.7,1675.2,1817.4,6.9,3.47,0.0503,0.05,HAT-P-33,Gemini,F,1.4,1.78,6401,4.756155,2.4,419,1,0,1.576,3.664,0.05,0,0
HAT-P-34 b,Jovian,non-habitable,1058.1,12.4,0.56,6.88,9.24,1106.6,1311.3,1776.5,587.4,5.45,0.0677,0.06,HAT-P-34,Sagitta,F,1.36,1.45,6509,3.385968,1.7,257,1,0,1.321,3.067,0.07,0,0
HAT-P-35 b,Jovian,non-habitable,335.11,14.92,0.1,1.51,4.74,1425.2,1442.8,1461.2,33.8,3.65,0.0498,0.05,HAT-P-35,Hydra,F,1.24,1.44,6096,2.55137,3.5,535,1,0,1.176,2.749,0.06,0,0
HAT-P-36 b,Jovian,non-habitable,582.47,14.16,0.21,2.91,6.41,1619.4,1669.2,1724.8,119.6,1.33,0.0238,0.02,HAT-P-36,Canes Venatici,G,1.02,1.1,5580,1.044835,6.6,317,1,0,0.776,1.839,0.06,0,0
HAT-P-37 b,Jovian,non-habitable,371.67,13.19,0.16,2.14,5.31,1134.2,1166.3,1201.9,60.1,2.8,0.0379,0.04,HAT-P-37,Draco,G,0.93,0.88,5500,0.631451,3.6,411,1,0,0.606,1.44,0.07,0,0
HAT-P-38 b,Jovian,non-habitable,84.89,9.24,0.11,0.99,3.03,955.8,987,1022.1,9.1,4.64,0.0523,0.05,HAT-P-38,Triangulum,G,0.89,0.92,5330,0.616882,10.1,249,1,0,0.605,1.445,0.1,0,0
HAT-P-39 b,Jovian,non-habitable,190.45,17.6,0.03,0.62,3.29,1601.9,1601.9,1601.9,6.7,3.54,0.0509,0.05,HAT-P-39,Gemini,F,1.4,1.62,6430,4.049865,2,642,1,0,1.452,3.374,0.05,0,0
HAT-P-40 b,Jovian,non-habitable,195.53,19.38,0.03,0.52,3.18,1614.8,1614.8,1614.8,5.3,4.46,0.0608,0.06,HAT-P-40,Lacerta,F,1.51,2.21,6080,5.966438,2.7,501,1,0,1.8,4.21,0.05,0,0
HAT-P-41 b,Jovian,non-habitable,254.35,18.87,0.04,0.71,3.67,1509.9,1509.9,1509.9,9.6,2.69,0.0426,0.04,HAT-P-41,Aquila,F,1.28,1.19,6479,2.238802,2.2,344,1,0,1.076,2.499,0.05,0,0
HAT-P-42 b,Jovian,non-habitable,309.99,14.3,0.11,1.52,4.66,1305.4,1305.4,1305.4,32.8,4.64,0.0575,0.06,HAT-P-42,Hydra,G,1.18,1.53,5743,2.278725,5.1,447,1,0,1.135,2.677,0.06,0,0
HAT-P-43 b,Jovian,non-habitable,209.84,14.37,0.07,1.02,3.82,1242.6,1242.6,1242.6,14.8,3.33,0.0443,0.04,HAT-P-43,Cancer,G,1.05,1.1,5645,1.110411,5.7,543,1,0,0.797,1.885,0.06,0,0
HAT-P-44 b,Jovian,non-habitable,124.63,14.34,0.04,0.61,2.95,990.9,1025.6,1065,5.3,4.3,0.0507,0.05,HAT-P-44,Bootes,K,0.94,0.98,5295,0.675957,8.9,374,2,1,0.634,1.517,0.07,0,0
HAT-P-44 c,Jovian,non-habitable,508.7,11,0.38,4.2,6.8,276.3,276.3,276.3,194.3,219.9,0.699,0.7,HAT-P-44,Bootes,K,0.94,0.98,5295,0.675957,8.9,374,2,1,0.634,1.517,0.44,0,0
HAT-P-45 b,Jovian,non-habitable,283.6,15.97,0.07,1.11,4.21,1472.1,1507.5,1546.1,19.7,3.13,0.0452,0.05,HAT-P-45,Serpens,F,1.26,1.32,6330,2.506076,2,305,1,0,1.149,2.674,0.06,0,0
HAT-P-46 b,Jovian,non-habitable,156.74,14.38,0.05,0.76,3.3,1252.6,1326.1,1417.3,8.3,4.46,0.0577,0.06,HAT-P-46,Serpens,F,1.28,1.4,6120,2.452824,2.5,296,2,0,1.151,2.69,0.06,0,0
HAT-P-46 c,Jovian,non-habitable,635.88,11.26,0.45,5.02,7.52,512.5,512.5,512.5,283.3,77.7,0.387,0.39,HAT-P-46,Serpens,F,1.28,1.4,6120,2.452824,2.5,296,2,0,1.151,2.69,0.16,0,0
HAT-P-49 b,Jovian,non-habitable,550.04,15.83,0.14,2.2,5.9,1945.3,1945.3,1945.3,76.3,2.69,0.0438,0.04,HAT-P-49,Vulpecula,A5,1.54,1.83,6820,6.521572,1.5,322,1,0,1.803,4.167,0.06,0,0
HAT-P-50 b,Jovian,non-habitable,432.4,14.43,0.14,2.08,5.47,1605.5,1693.9,1802.1,62.3,3.12,0.0453,0.04,HAT-P-50,Gemini,F,1.27,1.7,6280,4.023498,3.37,597,1,0,1.46,3.402,0.06,0,0
HAT-P-51 b,Jovian,non-habitable,98.24,14.48,0.03,0.47,2.6,1027.5,1087.8,1162.6,3.2,4.22,0.0507,0.05,HAT-P-51,Pisces,G,0.98,1.04,5449,0.857153,8.2,470,1,0,0.708,1.685,0.07,0,0
HAT-P-52 b,Jovian,non-habitable,260.39,11.3,0.18,2.04,4.8,1087.1,1112.2,1139.5,47,2.75,0.0369,0.04,HAT-P-52,Aries,K,0.89,0.89,5131,0.495908,9.4,385,1,0,0.548,1.318,0.08,0,0
HAT-P-53 b,Jovian,non-habitable,472.78,14.76,0.15,2.17,5.66,1525.7,1622.8,1745.8,69.5,1.96,0.0316,0.03,HAT-P-53,Andromeda,G,1.09,1.21,5956,1.650294,4.67,719,1,0,0.954,2.237,0.06,0,0
HAT-P-54 b,Jovian,non-habitable,241.63,10.57,0.2,2.16,4.78,723.1,749.1,778.7,49.4,3.8,0.0412,0.04,HAT-P-54,Gemini,K,0.65,0.62,4390,0.126858,3.9,135.8,1,0,0.286,0.71,0.1,0,0
HAT-P-55 b,Jovian,non-habitable,185.04,13.24,0.08,1.06,3.74,1124.5,1198.6,1293.3,14.8,3.59,0.046,0.05,HAT-P-55,Hercules,G,1.01,1.01,5808,1.043515,4.2,480,1,0,0.765,1.801,0.07,0,0
HAT-P-56 b,Jovian,non-habitable,699.47,16.42,0.16,2.59,6.53,1507,1675.7,1937.2,110.5,2.79,0.0423,0.04,HAT-P-56,Gemini,F,1.3,1.43,6566,3.400555,2.01,310.5,1,0,1.32,3.061,0.06,0,0
HAT-P-57 b,Jovian,non-habitable,588.19,15.83,0.15,2.35,6.1,2010.1,2010.1,2010.1,87.3,2.47,0.0406,0.04,HAT-P-57,Aquila,A,1.47,1.5,7500,6.387303,1,303,1,0,1.753,4.039,0.06,0,0
HATS-1 b,Jovian,non-habitable,589.78,14.58,0.19,2.77,6.36,1182.5,1250.3,1334,112.2,3.45,0.0444,0.04,HATS-1,Crater,G,0.99,1.04,5870,1.147722,6,303,1,0,0.8,1.879,0.06,0,0
HATS-2 b,Jovian,non-habitable,427.63,13.08,0.19,2.5,5.72,1440.1,1440.1,1440.1,81.7,1.35,0.023,0.02,HATS-2,Crater,K,0.88,0.9,5227,0.540073,9.7,360,1,0,0.569,1.364,0.07,0,0
HATS-3 b,Jovian,non-habitable,340.51,15.47,0.09,1.42,4.69,1506.7,1506.7,1506.7,31.3,3.55,0.0485,0.05,HATS-3,Capricorn,F,1.21,1.4,6351,2.877349,3.2,453,1,0,1.23,2.861,0.06,0,0
