P. Name,P. Mass Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. ESI,P. Habitable,P. Hab Moon
GJ 317 b,Jovian,non-habitable,813.93,11.47,0.54,6.19,8.42,69,72.7,77.1,439.3,692,1.148,1.14,GJ 317,Pyxis,M3.5,0.42,0.25,3510,0.008749,,15.1,2,0,0.076,0.198,0.1,0,0
GJ 317 c,Jovian,non-habitable,635.88,11.26,0.45,5.02,7.52,10.6,13.5,32.6,283.3,7300,30,17.59,GJ 317,Pyxis,M3.5,0.42,0.25,3510,0.008749,,15.1,2,0,0.076,0.198,0.1,0,0
GJ 328 b,Jovian,non-habitable,731.26,11.39,0.5,5.64,8.01,45.8,53.1,67.5,362.2,4100,4.5,4.18,GJ 328,Hydra,K7,0.69,0.44,3900,0.039567,,19.8,1,0,0.162,0.411,0.1,0,0
GJ 422 b,Superterran,mesoplanet,9.9,1.98,1.28,2.53,2.24,225.7,231.3,237.3,12.6,26.16,0.119,0.12,GJ 422,Centaurus,M3.5V,0.35,0.3,3323,0.009624,,12.67,1,1,0.08,0.21,0.71,1,0
GJ 433 b,Superterran,non-habitable,5.3,1.68,1.11,1.87,1.77,396,405.8,416.4,5.9,7.37,0.06,0.06,GJ 433,Hydra,M1.5,0.48,0.39,3600,0.023178,,8.88,2,0,0.124,0.321,0.45,0,0
GJ 433 c,Neptunian,non-habitable,44.51,6.07,0.2,1.21,2.71,48.4,52.3,57.5,8.9,3693,3.6,3.55,GJ 433,Hydra,M1.5,0.48,0.39,3600,0.023178,,8.88,2,0,0.124,0.321,0.19,0,0
GJ 436 b,Neptunian,non-habitable,22.26,4.26,0.29,1.23,2.29,596.7,649.7,724.1,6.4,2.64,0.0289,0.03,GJ 436,Leo,M2.5,0.45,0.46,3684,0.03558,6,10.2,1,0,0.154,0.396,0.2,0,0
GJ 504 b,Jovian,non-habitable,1271.76,10.75,1.02,11,10.88,47,47,47,1301.2,,43.5,43.5,GJ 504,Virgo,GOV,1.22,1.28,6234,2.193053,0.16,17.56,1,0,1.081,2.52,0.08,0,0
GJ 581 b,Neptunian,non-habitable,15.9,4.31,0.2,0.86,1.92,410.9,417.2,423.8,3.2,5.37,0.041,0.04,GJ 581,Libra,M2.5V,0.31,0.3,3498,0.01209,8,6.21,3,0,0.09,0.233,0.38,0,0
GJ 581 c,Superterran,non-habitable,5.4,1.69,1.12,1.89,1.79,302.3,312.6,324.2,6,12.92,0.073,0.07,GJ 581,Libra,M2.5V,0.31,0.3,3498,0.01209,8,6.21,3,0,0.09,0.233,0.66,0,0
