PLZ,Gemeinde,Land,SCB
3615,Heimenschwand,CH,8
3616,Schwarzenegg,CH,5
3616,Oberlangenegg,CH,1
3617,Fahrni,CH,11
3618,Süderen,CH,2
3619,Eriz,CH,1
3624,Goldiwil,CH,2
3624,Schwendibach,CH,2
3625,Heiligenschwendi,CH,5
3626,Hünibach,CH,7
3627,Heimberg,CH,65
3628,Uttigen,CH,20
3628,Utligen,CH,1
3629,Jaberg,CH,2
3629,Kiesen,CH,12
3629,Oppligen,CH,11
3631,Höfen,CH,2
3632,Oberstocken,CH,1
3632,Niederstocken,CH,1
3633,Amsoldingen,CH,3
3634,Thierachern,CH,9
3635,Uebeschi,CH,6
3636,Längenbühl,CH,4
3638,Blumenstein,CH,4
3638,Pohlern,CH,3
3645,Gwatt,CH,27
3646,Einigen,CH,8
3647,Reutigen,CH,4
3652,Hilterfingen,CH,9
3652,Hiltefingen,CH,1
3653,Oberhofen,CH,10
3654,Gunten ,CH,1
3654,Gunten,CH,3
3655,Sigriswil,CH,8
3656,Tschingel,CH,1
3656,Aeschlen ob Gunten,CH,1
3656,Ringoldswil,CH,1
3657,Schwanden Sigriswil,CH,1
3657,Heimberg,CH,1
3658,Merligen,CH,3
3661,Uetendorf,CH,66
3662,Seftigen,CH,12
3663,Gurzelen,CH,3
3664,Burgistein,CH,10
3665,Wattenwil,CH,22
3671,Brenzikofen,CH,13
3671,Herbligen,CH,6
3672,Oberdiessbach,CH,24
3672,Oberdeissbach,CH,1
3673,Linden,CH,7
3674,Bleiken,CH,1
3700,Spiez,CH,69
3700,Spiezwiler,CH,4
3702,Hondrich,CH,5
3703,Aeschi,CH,8
3704,Krattigen,CH,7
3705,Faulensee,CH,5
3706,Leissigen,CH,7
3711,Emdthal,CH,2
3713,Reichenbach,CH,6
3714,Frutigen,CH,28
3715,Adelboden,CH,1
3718,Kandersteg,CH,4
3722,Scharnachtal,CH,4
3724,Ried,CH,1
3725,Achseten,CH,3
3752,Wimmis,CH,9
3753,Oey,CH,5
3755,Horboden,CH,1
3756,Zwischenflüh,CH,1
3762,Erlenbach,CH,2
3763,Därstetten,CH,1
3764,Weissenburg,CH,3
3765,Oberwil,CH,1
3766,Boltigen,CH,8
3770,Zweisimmen,CH,9
3771,Blankenburg,CH,6
3772,St. Stephan,CH,1
3774,Frutigen,CH,1
3775,Lenk,CH,1
3780,Gstaad,CH,7
3781,Turbach,CH,1
3782,Lauenen,CH,2
3784,Feutersoey,CH,2
3785,Gsteig,CH,1
3800,Interlaken,CH,24
3800,Unterseen,CH,24
3800,Matten,CH,14
3803,Beatenberg,CH,16
3805,Goldiswil,CH,2
3805,Goldswil,CH,3
3806,Bönigen,CH,7
